model,variable,variable_label,coefficient,std_error,ci_lower_95,ci_upper_95,p_value,observations,countries,year_start,year_end,country_fixed_effects,year_fixed_effects,standard_errors,r_squared,adjusted_r_squared
R10_exclude_influential,polio,Polio coverage,0.010441323550693899,0.003419800963868897,0.0037386368272154975,0.0171440102741723,0.0022641779629683527,2174,157,2000,2015,True,True,cluster_country,0.9653460213006194,0.962310762906029
R11_developed_only,schooling,Schooling,-0.05617390675394929,0.3273528670673399,-0.6977737364418635,0.5854259229339649,0.8637516357443785,420,28,2000,2014,True,True,cluster_country,0.762256094847071,0.7336505447618256
R11_developed_only,log1p_gdp,log(1 + GDP),-0.058454170045642906,0.08947801986355162,-0.23382786638616365,0.11691952629487784,0.513576005315059,420,28,2000,2014,True,True,cluster_country,0.762256094847071,0.7336505447618256
R11_developed_only,total_expenditure,Total expenditure,-0.06568491586085679,0.07107328402649818,-0.20498599281577914,0.07361616109406557,0.3553896168020453,420,28,2000,2014,True,True,cluster_country,0.762256094847071,0.7336505447618256
R11_developed_only,polio,Polio coverage,0.017399313022093483,0.00584942112954426,0.00593465827777913,0.028863967766407837,0.0029343213829524056,420,28,2000,2014,True,True,cluster_country,0.762256094847071,0.7336505447618256
R12_developing_only,schooling,Schooling,0.1326233993655675,0.13423226409215497,-0.13046700381832538,0.39571380254946037,0.32314563418617603,1899,129,2000,2015,True,True,cluster_country,0.9551111450481966,0.9513426346667488
R12_developing_only,log1p_gdp,log(1 + GDP),-0.015336084436138729,0.04002761049758893,-0.09378875939861042,0.06311659052633295,0.7016177084084374,1899,129,2000,2015,True,True,cluster_country,0.9551111450481966,0.9513426346667488
R12_developing_only,total_expenditure,Total expenditure,-0.009773506532837033,0.059968050088467346,-0.12730872492932704,0.10776171186365296,0.8705353144998749,1899,129,2000,2015,True,True,cluster_country,0.9551111450481966,0.9513426346667488
R12_developing_only,polio,Polio coverage,0.0038804267939928395,0.0034619397398763505,-0.0029048504128127706,0.01066570400079845,0.2623379886637881,1899,129,2000,2015,True,True,cluster_country,0.9551111450481966,0.9513426346667488
S1_add_contemporaneous_hiv_mortality,schooling,Schooling,0.14503244514081826,0.10189899065222091,-0.05468590659851835,0.34475079688015486,0.15465031106021132,2319,157,2000,2015,True,True,cluster_country,0.9661576264400341,0.963376927211951
S1_add_contemporaneous_hiv_mortality,log1p_gdp,log(1 + GDP),-0.020829733389715693,0.03436671151909456,-0.08818725023421885,0.04652778345478746,0.5444470074434687,2319,157,2000,2015,True,True,cluster_country,0.9661576264400341,0.963376927211951
S1_add_contemporaneous_hiv_mortality,total_expenditure,Total expenditure,-0.05315528586875653,0.04124824410554885,-0.13400035874114885,0.0276897870036358,0.19751358558789478,2319,157,2000,2015,True,True,cluster_country,0.9661576264400341,0.963376927211951
S1_add_contemporaneous_hiv_mortality,polio,Polio coverage,0.0037206359694921835,0.0028865531649261405,-0.0019369042732231582,0.009378176212207524,0.1974138717390853,2319,157,2000,2015,True,True,cluster_country,0.9661576264400341,0.963376927211951
S1_add_contemporaneous_hiv_mortality,log1p_hiv_aids,log(1 + HIV/AIDS),-4.19685576383662,0.5489560844586157,-5.272789918469635,-3.120921609203605,2.086896152751729e-14,2319,157,2000,2015,True,True,cluster_country,0.9661576264400341,0.963376927211951
I1_two_way_cluster_country_year,schooling,Schooling,0.13400051407453825,0.11651068807713354,-0.09435623837062376,0.36235726651970024,0.2500971309532811,2319,157,2000,2015,True,True,cluster_country_year,0.9593309972062598,0.9560099167168037
I1_two_way_cluster_country_year,log1p_gdp,log(1 + GDP),-0.015746270743002513,0.03532464391161959,-0.084981300576479,0.05348875909047397,0.6557714882551953,2319,157,2000,2015,True,True,cluster_country_year,0.9593309972062598,0.9560099167168037
I1_two_way_cluster_country_year,total_expenditure,Total expenditure,-0.03373195729101535,0.03783077449275951,-0.10787891280408052,0.040414998222049824,0.3725784748276846,2319,157,2000,2015,True,True,cluster_country_year,0.9593309972062598,0.9560099167168037
I1_two_way_cluster_country_year,polio,Polio coverage,0.004902350236731787,0.004013357753411455,-0.002963686417029248,0.012768386890492821,0.2218935844207207,2319,157,2000,2015,True,True,cluster_country_year,0.9593309972062598,0.9560099167168037
