country,year,residual,abs_residual
South Africa,2014,2.512788193460814,2.512788193460814
Malawi,2005,-2.5043553113408947,2.5043553113408947
Malawi,2010,2.4923171154416863,2.4923171154416863
Dominican Republic,2003,2.488282865141443,2.488282865141443
Ukraine,2007,-2.4856653126949766,2.4856653126949766
Uganda,2011,2.481088562999453,2.481088562999453
Bosnia and Herzegovina,2000,2.4695800053091403,2.4695800053091403
Sierra Leone,2003,-2.468726346628735,2.468726346628735
Sweden,2014,-2.4651689145017883,2.4651689145017883
Mali,2000,-2.4459782763144275,2.4459782763144275
Guatemala,2012,-2.4410977120384842,2.4410977120384842
Ethiopia,2011,2.4269671445148475,2.4269671445148475
France,2012,-2.4182941330159764,2.4182941330159764
Sri Lanka,2009,-2.4060548095629173,2.4060548095629173
Mozambique,2004,2.397217709318703,2.397217709318703
Denmark,2014,2.393489725853314,2.393489725853314
Lesotho,2004,-2.393440995932366,2.393440995932366
Guatemala,2014,-2.386190171734995,2.386190171734995
Norway,2013,-2.3739580496772703,2.3739580496772703
Mali,2001,2.3624667194061217,2.3624667194061217
Austria,2013,-2.3584322148596044,2.3584322148596044
Trinidad and Tobago,2014,-2.34457941269919,2.34457941269919
Norway,2012,-2.343860122064868,2.343860122064868
Mauritania,2014,-2.3342723848303564,2.3342723848303564
Kenya,2011,2.3342043017327327,2.3342043017327327
Lesotho,2011,2.3270222452669245,2.3270222452669245
Azerbaijan,2007,2.3062569723610693,2.3062569723610693
