country,year,life_expectancy,fitted,residual,studentized_residual,cooks_distance,influential_rule_4_over_n
Georgia,2008,73.9,66.78133008021133,7.1186699197886725,1.2054885884784288,0.0020556338525802376,True
Luxembourg,2011,88.0,77.43395498173567,10.566045018264333,1.786514598450935,0.0020518686723605614,True
Swaziland,2008,51.4,67.45837054301008,-16.058370543010078,-2.7151259892317956,0.0020354026245313784,True
Haiti,2005,65.0,56.7723003436262,8.227699656373801,1.3921604279766027,0.0020248670160009402,True
Zambia,2001,44.6,63.972880277945144,-19.372880277945143,-3.2771973305181152,0.0020233414053209423,True
Eritrea,2008,67.0,56.836971557858035,10.163028442141965,1.7184618662921296,0.002021443363255789,True
Lesotho,2006,45.3,66.48513503648805,-21.18513503648805,-3.585107746934156,0.0020091791783098537,True
Angola,2011,51.0,65.36273723924376,-14.362737239243756,-2.428015130831446,0.0019754627538972093,True
Equatorial Guinea,2011,56.2,64.62427077889133,-8.424270778891326,-1.425175159715611,0.001964748206756737,True
Zambia,2002,45.5,64.2085392005215,-18.7085392005215,-3.1643599113525864,0.0019378540478674547,True
Angola,2009,49.1,62.865567514436236,-13.765567514436235,-2.326947519033977,0.0019309857773963661,True
Zimbabwe,2004,44.3,61.92345169411447,-17.623451694114472,-2.9802757741945545,0.0019258096793384834,True
Zambia,2008,55.7,63.44343279940571,-7.74343279940571,-1.3103771430849835,0.0019096080343677085,True
Swaziland,2002,46.4,64.47548982112343,-18.075489821123433,-3.0569174032288178,0.0018959334682936025,True
Uganda,2003,51.0,64.4713815459363,-13.471381545936296,-2.277149710319201,0.0018897852820865557,True
Botswana,2005,51.7,71.00540553245678,-19.305405532456774,-3.2656335037257627,0.0018837056036438062,True
Liberia,2003,50.0,61.76056798304758,-11.76056798304758,-1.9879743140085517,0.0018730653838024036,True
Germany,2014,89.0,78.80482986761555,10.195170132384447,1.7236230314369185,0.0018399063342317615,True
Malawi,2010,52.9,65.35745913770357,-12.457459137703573,-2.1056726959048526,0.0018303234153575904,True
Paraguay,2001,71.2,63.87966624813758,7.320333751862421,1.2389703980266944,0.00182720821837616,True
Uganda,2000,46.6,61.63882847690056,-15.038828476900555,-2.542282190810178,0.0018226334028763596,True
Panama,2000,75.7,66.35179992322446,9.34820007677554,1.5806513599716037,0.001788946204186019,True
Swaziland,2001,47.1,64.73482818835976,-17.634828188359755,-2.9820815804432947,0.0017794211203068044,True
Lesotho,2005,44.5,66.50506917960847,-22.00506917960847,-3.7244154155091156,0.0017777609558475487,True
Nigeria,2000,47.1,57.24395714558583,-10.14395714558583,-1.7148786774606377,0.0017697389323412312,True
Angola,2005,47.4,57.66174704277742,-10.261747042777422,-1.7347300374688979,0.0017502867842668325,True
